urun_adi,Fiyat_str,gelis_fiyati_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
CANON 059H Black (16K),"66.67 USD 2,654.01 TL",66.67,16000,5,0,16726,"CANON 059HBK: LBP851, LBP852"
CANON 059H Cyan (14K),"66.67 USD 2,654.01 TL",66.67,14000,5,0,16727,"CANON 059HC: LBP851, LBP852"
CANON 059H Magenta (14K),"66.67 USD 2,654.01 TL",66.67,14000,5,0,16728,"CANON 059HM: LBP851, LBP852"
CANON 059H Yellow (14K),"66.67 USD 2,654.01 TL",66.67,14000,5,0,16729,"CANON 059HY: LBP851, LBP852"
"CANON C-EXV11,12 & GPR-15,16 & NPG-25,26 (1060Gr/22k)",13.28 USD 528.65 TL,13.28,22000,3,0,12493,"CANON C-EXV11, GPR15, NPG25: IR2230, IR2270, IR2830, IR2870, IR3025, IR3030, IR3225, IR3230; CANON EXV12, GPR16, NPG26: IR3035, IR3045, IR3235, IR3245, IR3530, IR3570, IR4530, IR4570"
CANON C-EXV18 (465 Gr) (8.4K),7.77 USD 309.31 TL,7.77,8400,50,0,18376,"CANON C-EXV18: IR1018, IR1020, IR1022, IR1024"
CANON C-EXV21 & GPR-23 & NPG-35 Black (480Gr./26K),25.09 USD 998.79 TL,25.09,26000,10,0,13181,"CANON C-EXV21, GPR-23, NPG-35: IR-C2380, IR-C2550, IR-C2880, IR-C3080, IR-C3380, IR-C3480, IR-C3580, IRC-C3880"
CANON C-EXV21 & GPR-23 & NPG-35 Cyan (260Gr./14K),25.09 USD 998.79 TL,25.09,14000,10,0,13182,"CANON C-EXV21, GPR-23, NPG-35: IR-C2380, IR-C2550, IR-C2880, IR-C3080, IR-C3380, IR-C3480, IR-C3580, IRC-C3880"
CANON C-EXV21 & GPR-23 & NPG-35 Magenta (260Gr./14K),25.09 USD 998.79 TL,25.09,14000,10,0,13183,"CANON C-EXV21, GPR-23, NPG-35: IR-C2380, IR-C2550, IR-C2880, IR-C3080, IR-C3380, IR-C3480, IR-C3580, IRC-C3880"
CANON C-EXV21 & GPR-23 & NPG-35 Yellow (260Gr./14K),25.09 USD 998.79 TL,25.09,14000,10,0,13184,"CANON C-EXV21, GPR-23, NPG-35: IR-C2380, IR-C2550, IR-C2880, IR-C3080, IR-C3380, IR-C3480, IR-C3580, IRC-C3880"
CANON C-EXV22 & GPR-24 & NPG-36 (2000Gr/48k),"35.56 USD 1,415.58 TL",35.56,48000,9,0,12495,"CANON C-EXV22, GPR24, NPG36: IR5050, IR5055, IR5065, IR5075"
CANON C-EXV28 & GPR-30 & NPG-45 Black (960Gr/44k),"28.89 USD 1,150.06 TL",28.89,44000,3,0,12488,"CANON C-EXV28, GPR30, NPG45: IR Advance C5045, C5051, C5250, C5255"
CANON C-EXV28 & GPR-30 & NPG-45 Cyan (590Gr/38k),"32.22 USD 1,282.62 TL",32.22,38000,6,0,12489,"CANON C-EXV28, GPR30, NPG45: IR Advance C5045, C5051, C5250, C5255"
CANON C-EXV28 & GPR-30 & NPG-45 Magenta (590Gr/38k),"32.22 USD 1,282.62 TL",32.22,38000,1,0,12490,"CANON C-EXV28, GPR30, NPG45: IR Advance C5045, C5051, C5250, C5255"
CANON C-EXV28 & GPR-30 & NPG-45 Yellow (590Gr/38k),"32.22 USD 1,282.62 TL",32.22,38000,5,0,12491,"CANON C-EXV28, GPR30, NPG45: IR Advance C5045, C5051, C5250, C5255"
CANON C-EXV29 & GPR-31 & NPG-46 Black (740Gr/36k),"30.00 USD 1,194.24 TL",30.00,36000,100,4,12509,"CANON C-EXV29, GPR31, NPG46: IR Advance C5030, C5035, C5235, C5240"
CANON C-EXV29 & GPR-31 & NPG-46 Cyan (484Gr/27k),"32.22 USD 1,282.62 TL",32.22,27000,100,1,12510,"CANON C-EXV29, GPR31, NPG46: IR Advance C5030, C5035, C5235, C5240"
CANON C-EXV29 & GPR-31 & NPG-46 Magenta (484Gr/27k),"32.22 USD 1,282.62 TL",32.22,27000,100,1,12511,"CANON C-EXV29, GPR31, NPG46: IR Advance C5030, C5035, C5235, C5240"
CANON C-EXV29 & GPR-31 & NPG-46 Yellow (484Gr/27k),"32.22 USD 1,282.62 TL",32.22,27000,100,1,12512,"CANON C-EXV29, GPR31, NPG46: IR Advance C5030, C5035, C5235, C5240"
"CANON C-EXV32 & GPR-34 & NPG-50 (900Gr/19,4k)",13.76 USD 547.76 TL,13.76,19400,20,0,12498,"CANON C-EXV32, GPR34, NPG50: IR2535, IR2545"
CANON C-EXV34 & GPR-36 & NPG-52 Black (390Gr/23k),18.33 USD 729.68 TL,18.33,23000,50,0,12521,"CANON C-EXV34, GPR36, NPG52: IR Advance C2020, C2025, C2030, C2220, C2225, C2230"
CANON C-EXV34 & GPR-36 & NPG-52 Cyan (260Gr/19k),17.78 USD 707.79 TL,17.78,19000,50,0,12522,"CANON C-EXV34, GPR36, NPG52: IR Advance C2020, C2025, C2030, C2220, C2225, C2230"
CANON C-EXV34 & GPR-36 & NPG-52 Magenta (260Gr/19k),17.78 USD 707.79 TL,17.78,19000,50,0,12523,"CANON C-EXV34, GPR36, NPG52: IR Advance C2020, C2025, C2030, C2220, C2225, C2230"
CANON C-EXV34 & GPR-36 & NPG-52 Yellow (260Gr/19k),17.78 USD 707.79 TL,17.78,19000,50,0,12524,"CANON C-EXV34, GPR36, NPG52: IR Advance C2020, C2025, C2030, C2220, C2225, C2230"
"CANON C-EXV35,36 & GPR-37,38 & NPG-53,54 (2300Gr/70k)",23.33 USD 928.72 TL,23.33,70000,100,0,12496,"CANON C-EXV35, GPR37, NPG53: IR8085, IR8095, IR8105, IR8205, IR8285, IR8295, IR8500, IR8505, IR8585, IR8595, DX8705; CANON C-EXV36, GPR38, NPG54: IR6055, IR6065, IR6075, IR6255, IR6265, IR6275, IR6555, IR6565, IR6575, DX6755, DX6765, DX6780"
"CANON C-EXV37,43 & GPR-39,48 & NPG-55,61 (580Gr/15,1k)",10.11 USD 402.46 TL,10.11,15100,100,2,12500,"CANON C-EXV37, GPR39, NPG55: IR1730, IR1740, IR1750; CANON C-EXV43, GPR48, NPG61: IR400, IR500"
"CANON C-EXV38,39 & GPR-42,43 & NPG-56,57 (1390Gr/31k)",20.22 USD 804.92 TL,20.22,31000,10,0,13186,"CANON C-EXV38,39, GPR-42,43, NPG-56,57: IR4025, IR4035, IR4045, IR4051, IR4225, IR4235, IR4245, IR4251"
CANON C-EXV42 & NPG-59 (486Gr/10k),5.74 USD 228.50 TL,5.74,10000,50,0,12504,"CANON C-EXV42, NPG59: IR2002, IR2202, IR2204, IR2206, IR2224"
CANON C-EXV47 & GPR-51 & NPG-65 Black (365Gr/19k),19.44 USD 773.87 TL,19.44,19000,20,0,12472,"CANON C-EXV47, GPR51, NPG65: IR C250, C255, C350, C351, C355"
CANON C-EXV47 & GPR-51 & NPG-65 Cyan (340Gr/21.5k),"25.44 USD 1,012.72 TL",25.44,21500,10,0,12473,"CANON C-EXV47, GPR51, NPG65: IR C250, C255, C350, C351, C355"
CANON C-EXV47 & GPR-51 & NPG-65 Magenta (340Gr/21.5k),"25.44 USD 1,012.72 TL",25.44,21500,10,0,12474,"CANON C-EXV47, GPR51, NPG65: IR C250, C255, C350, C351, C355"
CANON C-EXV47 & GPR-51 & NPG-65 Yellow (340Gr/21.5k),"25.44 USD 1,012.72 TL",25.44,21500,10,0,12475,"CANON C-EXV47, GPR51, NPG65: IR C250, C255, C350, C351, C355"
CANON C-EXV48 & GPR-52 & NPG-66 Black (310Gr/16.5k),21.00 USD 835.97 TL,21.00,16500,10,0,12480,"CANON C-EXV48, GPR52, NPG66: IR C1325, C1335"
CANON C-EXV48 & GPR-52 & NPG-66 Cyan (190Gr/11.5k),19.44 USD 773.87 TL,19.44,11500,10,0,12481,"CANON C-EXV48, GPR52, NPG66: IR C1325, C1335"
CANON C-EXV48 & GPR-52 & NPG-66 Magenta (190Gr/11.5k),19.44 USD 773.87 TL,19.44,11500,10,0,12482,"CANON C-EXV48, GPR52, NPG66: IR C1325, C1335"
CANON C-EXV48 & GPR-52 & NPG-66 Yellow (190Gr/11.5k),19.44 USD 773.87 TL,19.44,11500,10,0,12483,"CANON C-EXV48, GPR52, NPG66: IR C1325, C1335"
CANON C-EXV49 Black (790Gr./36K),"26.67 USD 1,061.68 TL",26.67,36000,100,2,11661,"CANON C-EXV49: IR-C3320, IR-C3325, IR-C3330, IR-C3500, IR-C3520, IR-C3525, IR-C3530, IR-C3720, IR-C3725, IR-C3730, IR-C3822, IR-C3826, IR-C3830, IR-C3835"
CANON C-EXV49 Cyan (463Gr./19K),24.44 USD 972.91 TL,24.44,19000,100,2,11662,"CANON C-EXV49: IR-C3320, IR-C3325, IR-C3330, IR-C3500, IR-C3520, IR-C3525, IR-C3530, IR-C3720, IR-C3725, IR-C3730, IR-C3822, IR-C3826, IR-C3830, IR-C3835"
CANON C-EXV49 Magenta (463Gr./19K),24.44 USD 972.91 TL,24.44,19000,100,2,11663,"CANON C-EXV49: IR-C3320, IR-C3325, IR-C3330, IR-C3500, IR-C3520, IR-C3525, IR-C3530, IR-C3720, IR-C3725, IR-C3730, IR-C3822, IR-C3826, IR-C3830, IR-C3835"
CANON C-EXV49 Yellow (463Gr./19K),24.44 USD 972.91 TL,24.44,19000,100,2,11664,"CANON C-EXV49: IR-C3320, IR-C3325, IR-C3330, IR-C3500, IR-C3520, IR-C3525, IR-C3530, IR-C3720, IR-C3725, IR-C3730, IR-C3822, IR-C3826, IR-C3830, IR-C3835"
CANON C-EXV5 (460 Gr) (8.3K),3.00 USD 119.42 TL,3.00,8300,5,0,18372,"CANON C-EXV5: IR210F, IR1600, IR1610, IR2000, IR2010"
"CANON C-EXV50 & NPG-68 & GPR-54 (650Gr/17,6k)",12.50 USD 497.60 TL,12.50,17600,100,2,12634,"CANON C-EXV50, NPG-68, GPR-54: IR1435"
CANON C-EXV51&GPR-55 & NPG-71 Black (995Gr/69K),"42.41 USD 1,688.26 TL",42.41,69000,100,0,13067,"CANON C-EXV51, GPR-55, NPG-71: IR-C5535, IR-C5540, IR-C5550, IR-C5560, IR-C5735, IR-C5740, IR-C5750, IR-C5760"
CANON C-EXV51&GPR-55 & NPG-71 Cyan (680Gr/60K),"39.38 USD 1,567.64 TL",39.38,60000,100,0,13068,"CANON C-EXV51, GPR-55, NPG-71: IR-C5535, IR-C5540, IR-C5550, IR-C5560, IR-C5735, IR-C5740, IR-C5750, IR-C5760"
