urun_adi,Fiyat_str,gelis_fiyat_usd,baski_kapasitesi,stok,kendi_depomuz,stok_kodu,yazici_uyumluluk_listesi
XBox SAMSUNG SCX-D4200A &XEROX PE114 (3K),6.50 USD 261.85 TL,6.50,3000,100,2,12855,SAMSUNG SCX-D4200A: SCX4200; XEROX 013R00607: PE114
XBox SAMSUNG ML-1710D3 & XEROX 3115 (3K),5.66 USD 228.16 TL,5.66,3000,100,0,15189,"SAMSUNG ML-1710D3: ML1410, ML1500, ML1510, ML1520, ML1710, ML1740, ML1750, ML1755; SAMSUNG SCX-4100D3: SCX4100; SAMSUNG SCX-4216D3: SCX4016, SCX4116, SCX 4216, SF560, SF565, SF750, SF755; XEROX 109R00725: PHASER 3115, 3116, 3120, 3121, 3130; XEROX 113R00667: PE16"
XBox SAMSUNG ML-1610 & XEROX 3117 (3K),5.25 USD 211.70 TL,5.25,3000,100,40,15188,"SAMSUNG MLT-D119S: ML1610, ML1615, ML1620, ML1625, ML2010, ML2510, ML2570, ML2571, SCX4321, SCX4521; XEROX 106R01159: PHASER 3117, 3122, 3124, 3125"
SAMSUNG SCX-D4200A &XEROX PE114 (3K),8.09 USD 326.00 TL,8.09,3000,50,1,15185,SAMSUNG SCX-D4200A: SCX4200; XEROX 013R00607: PE114
SAMSUNG ML-1710D3 & XEROX 3115 (3K),7.04 USD 283.69 TL,7.04,3000,10,1,15131,"SAMSUNG ML-1710D3: ML1410, ML1500, ML1510, ML1520, ML1710, ML1740, ML1750, ML1755; SAMSUNG SCX-4100D3: SCX4100; SAMSUNG SCX-4216D3: SCX4016, SCX4116, SCX 4216, SF560, SF565, SF750, SF755; XEROX 109R00725: PHASER 3115, 3116, 3120, 3121, 3130; XEROX 113R00667: PE16"
SAMSUNG ML-1610 & XEROX 3117 (3K),6.53 USD 263.14 TL,6.53,3000,100,6,15153,"SAMSUNG MLT-D119S: ML1610, ML1615, ML1620, ML1625, ML2010, ML2510, ML2570, ML2571, SCX4321, SCX4521; XEROX 106R01159: PHASER 3117, 3122, 3124, 3125"
XBox HP W2033X (415X) & CANON CRG-055HM Magenta Chipsiz (6K),7.24 USD 291.71 TL,7.24,6000,50,1,13170,"HP W2033X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H M: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09M: i-SENSYS X-C1127"
XBox HP W2033A (415A) & CANON CRG-055M Magenta Chipsiz (2.1K),4.99 USD 200.98 TL,4.99,2100,100,10,13166,"HP W2033A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 M: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
XBox HP W2032X (415X) & CANON CRG-055HY Yellow Chipsiz (6K),7.24 USD 291.71 TL,7.24,6000,50,1,13169,"HP W2032X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H Y: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09Y: i-SENSYS X-C1127"
XBox HP W2032A (415A) & CANON CRG-055Y Yellow Chipsiz (2.1K),4.99 USD 200.98 TL,4.99,2100,100,5,13165,"HP W2032A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 Y: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
XBox HP W2031X (415X) & CANON CRG-055HC Cyan Chipsiz (6K),7.24 USD 291.71 TL,7.24,6000,50,2,13168,"HP W2031X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H C: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09C: i-SENSYS X-C1127"
XBox HP W2031A (415A) & CANON CRG-055C Cyan Chipsiz (2.1K),4.99 USD 200.98 TL,4.99,2100,100,5,13164,"HP W2031A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 C: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
XBox HP W2030X (415X) & CANON CRG-055HBK Black Chipsiz (7.5K),7.24 USD 291.71 TL,7.24,7500,50,2,13167,"HP W2030X (415X): M455, MFP M454, MFP M479, MFP M480; CANON CRG055H BK: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746; CANON T09BK: i-SENSYS X-C1127"
XBox HP W2030A (415A) & CANON CRG-055BK Black Chipsiz (2.4K),4.99 USD 200.98 TL,4.99,2400,100,3,13163,"HP W2030A (415A): M455, MFP M454, MFP M479, MFP M480; CANON CRG055 BK: LBP662, LBP663, LBP664, MF741, MF742, MF743, MF744, MF745, MF746"
"XBox HP Q5949X,Q7553X & CANON CRG-708H,CRG-715H (7K)",5.55 USD 223.57 TL,5.55,7000,100,0,11956,"HP Q5949X (49X): 1320, 3390, 3392; HP Q7553X (53X): P2014, P2015, M2727; CANON CRG708H: LBP3300, LBP3360; CANON CRG715H: LBP3310, LBP3370"
"XBox HP Q5949A,Q7553A & CANON CRG-708,CRG-715 (3K)",4.49 USD 181.07 TL,4.49,3000,100,40,15174,"HP Q5949A (49A): 1160, 1320, 3390, 3392; HP Q7553A (53A): P2014, P2015, M2727; CANON CRG708: LBP3300, LBP3360; CANON CRG715: LBP3310, LBP3370"
XBox HP Q2612A (12A) & CANON CRG-703 (2K),2.89 USD 116.38 TL,2.89,2000,100,100,15158,"HP Q2612A (12A): 1010, 1012, 1015, 1018, 1020, 1022, 3015, 3020, 3030, 3050, 3052, 3055, M1005, M1319; CANON CRG703: LBP2900, LBP3000"
XBox HP CF413X (410X) & CANON CRG-046HM Magenta (5K),6.75 USD 272.18 TL,6.75,5000,30,5,11905,"HP CF413X (410X): M377, M452, M477; CANON CRG046HM: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF413A (410A) & CANON CRG-046M Magenta (2.3K),4.93 USD 198.68 TL,4.93,2300,100,20,11814,"HP CF412A (410A): M377, M452, M477; CANON 046M: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF412X (410X) & CANON CRG-046HY Yellow (5K),6.75 USD 272.18 TL,6.75,5000,50,4,11906,"HP CF412X (410X): M377, M452, M477; CANON CRG046HY: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF412A (410A) & CANON CRG-046Y Yellow (2.3K),4.93 USD 198.68 TL,4.93,2300,100,10,11815,"HP CF413A (410A): M377, M452, M477; CANON 046Y: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF411X (410X) & CANON CRG-046HC Cyan (5K),6.75 USD 272.18 TL,6.75,5000,50,3,11904,"HP CF411X (410X): M377, M452, M477; CANON CRG046HC: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF411A (410A) & CANON CRG-046C Cyan (2.3K),4.93 USD 198.68 TL,4.93,2300,100,10,11813,"HP CF411A (410A): M377, M452, M477; CANON 046C: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF410X (410X) & CANON CRG-046HBK Black (6.5K),6.75 USD 272.18 TL,6.75,6500,50,6,11903,"HP CF410X (410X): M377, M452, M477; CANON CRG046HBK: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
XBox HP CF410A (410A) & CANON CRG-046K Black (2.3K),5.25 USD 211.70 TL,5.25,2300,100,20,11812,"HP CF410A (410A): M377, M452, M477; CANON 046BK: LBP650, LBP653, LBP654, MF730, MF731, MF732, MF733, MF734, MF735"
"XBox HP CF403X,CF543X & CANON CRG-045H,CRG-067H Universal Magenta (2.5K)",5.25 USD 211.70 TL,5.25,2500,100,30,16880,"HP CF403X (201X): M252, M274, M277; HP CF543X (203X): M254, M280, M281; CANON 045HM: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HM: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF403A,CF543A & CANON CRG-045,CRG-054,CRG-067 Universal Magenta (1.4K)",4.50 USD 181.46 TL,4.50,1400,100,50,16872,"HP CF403A (201A): M252, M274, M277; HP CF543A (203A): M254, M280, M281; CANON 045M: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054M: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067M: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF402X,CF542X & CANON CRG-045H,CRG-067H Universal Yellow (2.5K)",5.25 USD 211.70 TL,5.25,2500,100,20,16879,"HP CF402X (201X): M252, M274, M277; HP CF542X (203X): M254, M280, M281; CANON 045HY: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HY: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF402A,CF542A & CANON CRG-045,CRG-054,CRG-067 Universal Yellow (1.4K)",4.50 USD 181.46 TL,4.50,1400,100,50,16871,"HP CF402A (201A): M252, M274, M277; HP CF542A (203A): M254, M280, M281; CANON 045Y: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054Y: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067Y: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF401X,CF541X & CANON CRG-045H,CRG-067H Universal Cyan (2.5K)",5.25 USD 211.70 TL,5.25,2500,100,30,16878,"HP CF401X (201X): M252, M274, M277; HP CF541X (203X): M254, M280, M281; CANON 045HC: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HC: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF401A,CF541A & CANON CRG-045,CRG-054,CRG-067 Universal Cyan (1.4K)",4.50 USD 181.46 TL,4.50,1400,100,50,16870,"HP CF401A (201A): M252, M274, M277; HP CF541A (203A): M254, M280, M281; CANON 045C: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054C: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067C: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF400X,CF540X & CANON CRG-045H,CRG-067H Universal Black (3.2K)",5.25 USD 211.70 TL,5.25,3200,100,30,16877,"HP CF400X (201X): M252, M274, M277; HP CF540X (203X): M254, M280, M281; CANON 045HBK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 067HBK: LBP631, LBP633, MF651, MF655, MF657"
"XBox HP CF400A,CF540A & CANON CRG-045,CRG-054,CRG-067 Universal Black (1.5K)",4.50 USD 181.46 TL,4.50,1500,100,40,16869,"HP CF400A (201A): M252, M274, M277; HP CF540A (203A): M254, M280, M281; CANON 045BK: LBP610, LBP611, LBP612, LBP613, MF631, MF632, MF633, MF634, MF635, MF636; CANON 054BK: MF621, MF623, MF641, MF642, MF643, MF645; CANON 067BK: LBP631, LBP633, MF651, MF655, MF657"
XBox HP CF363A (508A) & CANON CRG-040M Magenta (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14986,"CANON 040 M: LBP710, LBP712; HP CF363A (508A): M552, M553, M577"
XBox HP CF362A (508A) & CANON CRG-040Y Yellow (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14985,"CANON 040 Y: LBP710, LBP712; HP CF362A (508A): M552, M553, M577"
XBox HP CF361A (508A) & CANON CRG-040C Cyan (5.4K),12.75 USD 513.74 TL,12.75,5400,0,0,14984,"CANON 040 C: LBP710, LBP712; HP CF361A (508A): M552, M553, M577"
XBox HP CF360A (508A) & CANON CRG-040K Black (6.3K),12.75 USD 513.74 TL,12.75,6300,10,3,14983,"CANON 040 BK: LBP710, LBP712; HP CF360A (508A): M552, M553, M577"
XBox HP CF289Y & CANON T06 & CRG-056H Chipsiz (20K),12.88 USD 519.10 TL,12.88,20000,100,3,12818,"HP CF289Y (89Y): M507,M528, E50145, E52645; CANON CRG056H: LBP325, MF542, MF543, MF552, MF553; CANON T06: 1643"
XBox HP CF289X (89X) & CANON CRG-056 Chipsiz (10K),6.98 USD 281.37 TL,6.98,10000,100,0,12802,"HP CF289X (89X): M507, M528, E50145, E52645; CANON CRG056: LBP325, MF542, MF543, MF552, MF553"
XBox HP CF289A (89A) & CANON CRG-056 Chipsiz (5K),5.55 USD 223.57 TL,5.55,5000,0,0,17080,"HP CF289A (89A): M507, M528, E50145, E52645; CANON CRG056L: LBP325, MF542, MF543, MF552, MF553"
XBox HP CF287X & CANON CRG-041H (20K),8.15 USD 328.46 TL,8.15,20000,100,1,12800,"HP CF287X (87X): M501, M506, M527; CANON CRG041H: LBP312, MF522, MF525"
XBox HP CF287A & CANON CRG-041 (10K),6.21 USD 250.36 TL,6.21,10000,100,5,12799,"HP CF287A (87A): M501, M506, M527; CANON CRG041: LBP312, MF522, MF525"
XBox HP CF283X (83X) & CANON CRG737 (2.4K),3.10 USD 124.80 TL,3.10,2400,100,100,15154,"HP CF283X (83X): M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
XBox HP CF283A & CANON CRG 737 (1.5K),2.95 USD 119.06 TL,2.95,1500,100,100,14897,"HP CF283A (83A): M125, M126, M127, M201, M225; CANON CRG737: LBP151, MF211, MF212, MF216, MF217, MF221, MF222, MF224, MF226, MF227, MF229, MF231, MF232, MF236, MF237, MF244, MF247, MF249"
XBox HP CF259Y (59Y) & CANON CRG-057Y Chipsiz (18K),13.12 USD 528.67 TL,13.12,18000,7,0,16802,"HP CF259Y (59Y): M404, M428; CANON CRG057Y: LBP223, LBP226, LBP228, MF443, MF445, MF446, MF449"
XBox HP CF259X (59x) & CANON CRG-057H & T08 Chipsiz (10K),6.21 USD 250.36 TL,6.21,10000,100,100,12467,"HP CF259X (59X): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057H: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455; CANON T08: X1238"
XBox HP CF259A (59A) & CANON CRG-057 Chipsiz (3K),4.65 USD 187.20 TL,4.65,3000,100,30,12466,"HP CF259A (59A): M304, M305, M404, M405, M406, M407, M430, MFP M329, MFP M428, MFP M429; CANON CRG057: LBP223, LBP226, LBP228, LBP233, LBP236, LBP237, MF443, MF445, MF446, MF449, MF451, MF452, MF453, MF455"
