Urun_Kodu,Baski_Kapasitesi
16726,16
16727,14
16728,14
16729,14
12493,22
18376,"8,4"
13181,26
13182,14
13183,14
13184,14
12495,48
12488,44
12489,38
12490,38
12491,38
12509,36
12510,27
12511,27
12512,27
12498,"19,4"
12521,23
12522,19
12523,19
12524,19
12496,70
12500,"15,1"
13186,31
12504,10
12472,19
12473,"21,5"
12474,"21,5"
12475,"21,5"
12480,"16,5"
12481,"11,5"
12482,"11,5"
12483,"11,5"
11661,36
11662,19
11663,19
11664,19
18372,"8,3"
12634,"17,6"
13067,69
13068,60
13069,60
13070,60
12896,"42,1"
12891,"15,5"
12892,"8,5"
12893,"8,5"
12894,"8,5"
13193,23
13194,18
13195,18
13196,18
14876,71
14877,60
14878,60
14879,60
13188,30
16100,"71,5"
17071,
16384,"25,5"
16383,38
16385,"25,5"
16386,"25,5"
16388,"44,5"
16390,33
13154,"2,4"
13155,"2,1"
13150,"7,6"
13151,"5,9"
13152,"5,9"
13153,"5,9"
13156,"2,1"
13157,"2,1"
13159,10
13158,5
14932,"3,1"
14933,10
16071,6
16072,5
16073,5
16074,5
16075,"13,4"
16076,"10,4"
16077,"10,4"
16078,"10,4"
14963,"2,1"
16288,"2,1"
14964,"1,9"
16289,"1,9"
14967,"7,6"
16292,"7,6"
14968,"7,6"
16293,"7,6"
14969,"7,6"
16294,"7,6"
14970,"7,6"
16295,"7,6"
14965,"1,9"
16290,"1,9"
14966,"1,9"
16291,"1,9"
16825,3
16268,3
16827,"10,2"
16269,"10,2"
16831,"1,2"
16266,"1,2"
16833,"2,5"
16267,"2,5"
17125,"1,4"
17126,"4,1"
16579,27
11375,5
11763,"6,1"
11764,"6,4"
11762,12
11765,"6,4"
11766,"6,4"
15205,"2,5"
15204,2
18390,"8,3"
18392,"14,6"
16814,"39,5"
16813,56
16815,"39,5"
16816,"39,5"
16822,43
16821,44
16823,43
16824,43
16325,"51,5"
13160,20
13144,11
14892,"7,6"
14893,"5,9"
14894,"5,9"
14895,"5,9"
16694,"7,4"
16695,"5,3"
16696,"5,3"
16697,"5,3"
16755,"10,6"
16439,"10,6"
15027,10
11324,12
11334,12
11420,12
11606,12
15137,12
17345,12
17095,15
17092,15
17093,15
17094,15
12995,18
12996,18
15022,25
15067,30
15001,50
16761,75
11339,"1,5"
15157,"2,5"
15087,700
15129,"2,6"
11373,"2,6"
11599,"2,6"
11354,"1,4"
11353,"2,2"
11355,"1,4"
11356,"1,4"
15155,3
11515,"2,5"
11516,"2,2"
11517,"2,2"
11518,"2,2"
11870,3
11871,"2,3"
11872,"2,3"
11873,"2,3"
15132,"6,7"
11374,"3,5"
15017,8
11462,8
15113,12
11411,8
11451,"3,5"
11450,6
11452,"3,5"
11453,"3,5"
11412,12
17420,20
11579,6
11580,6
11581,6
16756,3
16757,11
17086,18
16758,25
11821,3
11820,3
11822,3
11823,3
11825,"6,5"
11824,"6,5"
11826,"6,5"
11827,"6,5"
16789,9
16790,"6,5"
16791,"6,5"
16793,12
16794,9
16795,9
16796,9
16792,"6,5"
